wavelength / nm,EQE / %
302.5641026,2.047244094
326.9230769,8.503937008
333.3333333,16.22047244
341.025641,26.2992126
346.1538462,33.22834646
351.2820513,39.52755906
319.2307692,5.196850394
353.8461538,44.56692913
356.4102564,49.92125984
365.3846154,54.96062992
371.7948718,59.68503937
379.4871795,65.66929134
389.7435897,71.65354331
403.8461538,77.63779528
443.5897436,81.88976378
508.974359,82.67716535
556.4102564,81.73228346
624.3589744,79.37007874
669.2307692,76.53543307
698.7179487,74.01574803
728.2051282,71.18110236
748.7179487,65.98425197
753.8461538,60
761.5384615,51.65354331
769.2307692,41.41732283
771.7948718,34.01574803
774.3589744,27.24409449
782.0512821,20.78740157
764.1025641,47.08661417
783.3333333,15.27559055
787.1794872,10.5511811
794.8717949,6.456692913
805.1282051,0
833,0
870,0
900,0
1000,0
1100,0
1150,0
1200,0
1250,0
1300,0
1400,0
1500,0
1600,0
1650,0
